name,rating,price,link
"WD_BLACK SN750 1TB High-Performance NVMe Internal Gaming SSD, with Heatsink",4.8 ,N/A,http://www.amazon.co.uk/Black-High-Performance-Internal-Gaming-Heatsink/dp/B07MQ468S8/ref=sr_1_61?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-61
"ADATA XPG S40G 1TB RGB M.2 Internal Solid State Drive Gaming-SSD Hard Disk, black, AS40G-1TT-C",4.6 ,133.21,http://www.amazon.co.uk/ADATA-Internal-Solid-State-Gaming-SSD/dp/B07SKG68CB/ref=sr_1_62?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-62
"Crucial P1 1 TB CT1000P1SSD8 Internal Solid State Drive-up to 2000 MB/s (3D NAND, NVMe, PCIe, M.2), Black",4.8 ,93.46,http://www.amazon.co.uk/Crucial-CT1000P1SSD8-Solid-State-Drive/dp/B07J2Q4SWZ/ref=sr_1_63?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-63
"Kingston A2000 (SA2000M8/1000G) SSD NVMe PCIe M.2 2280, 1 TB",4.8 ,85.30,http://www.amazon.co.uk/Kingston-A2000-SA2000M8-1000G-NVMe/dp/B07VXC9QMH/ref=sr_1_65?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-65
"Seagate IronWolf 125 SSD, 1 TB, Internal NAS Solid State Drive, SATA 6GB/s 2.5 Inches, up to 560MB/s Black with Three-year Rescue Services (ZA1000NM1A002)",4.7 ,118.49,http://www.amazon.co.uk/Seagate-IronWolf-Internal-Three-year-ZA1000NM1A002/dp/B08H55CXVC/ref=sr_1_66?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-66
"SAMSUNG SSD 860 1TB 2.5"" SERIAL ATA III V-NAND MLC MZ-76Q1T0BW",4.4 ,126.68,http://www.amazon.co.uk/Samsung-MZ-76Q1T0BW-860-QVO-SATA/dp/B07MT4WLN3/ref=sr_1_67?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-67
"WD_BLACK AN1500 1TB NVMe SSD Add-In-Card,  read speed up to 6500MB/s & write speed up to 4100MB/s",N/A,N/A,http://www.amazon.co.uk/WD_BLACK-AN1500-Card-6500MB-4100MB/dp/B08HBPMPZ2/ref=sr_1_68?dchild=1&keywords=ssd+1tb&qid=1623945327&sr=8-68
Intenso 2.5 Inch SSD SATA III Top Performance 1 TB,4.7 ,84.44,http://www.amazon.co.uk/Intenso-1TB-SATA-Performance-Inch/dp/B07V9L4YYT/ref=sr_1_67?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-67
Pioneer 1TB NVMe PCIe M.2 2280 Gen 3x4 Internal Solid State Drive SSD Series (APS-SE20G-1T),4.7 ,N/A,http://www.amazon.co.uk/Pioneer-Internal-Solid-State-Drive/dp/B07P5QFRP2/ref=sr_1_68?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-68
Patriot Memory Viper VPN100 M.2 2280 PCIe 1TB - Solid State Drive - VPN100-1TBM28H,4.7 ,122.97,http://www.amazon.co.uk/Patriot-Memory-Viper-VPN100-2280/dp/B07PB2ZZPL/ref=sr_1_69?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-69
"Silicon Power PCIe M.2 NVMe SSD 1TB Gen3x4 R/W up to 3, 400/3, 000MB/s internal SSD",4.7 ,114.34,http://www.amazon.co.uk/Silicon-Power-Gen3x4-000MB-internal/dp/B07P9PCCHL/ref=sr_1_70?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-70
Kingston KC2500 NVMe PCIe SSD -SKC2500M8/1000G M.2 2280,4.4 ,115.22,http://www.amazon.co.uk/Kingston-KC2500-NVMe-SKC2500M8-1000G/dp/B087QYC363/ref=sr_1_71?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-71
Sabrent 1TB Rocket NVMe PCIe M.2 2242 DRAM-less Low Power Internal High Performance SSD (SB-1342-1TB),4.4 ,N/A,http://www.amazon.co.uk/Sabrent-DRAM-less-Internal-Performance-SB-1342-1TB/dp/B07XVTRFF8/ref=sr_1_72?dchild=1&keywords=ssd+1tb&qid=1623945333&sr=8-72
